model_version,component,horizon_days,split,metric,value,source
fp_v1,comp3,7,test,n_test,8700.0,ml
fp_v1,comp3,7,test,pos_test,183.0,ml
fp_v1,comp3,8,test,auc,0.9703,ml
fp_v1,comp3,8,test,pr_auc,0.4064,ml
fp_v1,comp3,8,test,base_rate,0.0242,ml
fp_v1,comp3,8,test,rule_auc,0.8168,ml
fp_v1,comp3,8,test,lift_top10,9.5673,ml
fp_v1,comp3,8,test,n_test,8600.0,ml
fp_v1,comp3,8,test,pos_test,208.0,ml
fp_v1,comp3,14,test,auc,0.9553,ml
fp_v1,comp3,14,test,pr_auc,0.4738,ml
fp_v1,comp3,14,test,base_rate,0.0442,ml
fp_v1,comp3,14,test,rule_auc,0.8054,ml
fp_v1,comp3,14,test,lift_top10,6.9774,ml
fp_v1,comp3,14,test,n_test,8000.0,ml
fp_v1,comp3,14,test,pos_test,354.0,ml
fp_v1,comp3,16,test,auc,0.9508,ml
fp_v1,comp3,16,test,pr_auc,0.3805,ml
fp_v1,comp3,16,test,base_rate,0.0508,ml
fp_v1,comp3,16,test,rule_auc,0.8029,ml
fp_v1,comp3,16,test,lift_top10,7.5505,ml
fp_v1,comp3,16,test,n_test,7800.0,ml
fp_v1,comp3,16,test,pos_test,396.0,ml
fp_v1,comp3,21,test,auc,0.9469,ml
fp_v1,comp3,21,test,pr_auc,0.4531,ml
fp_v1,comp3,21,test,base_rate,0.0668,ml
fp_v1,comp3,21,test,rule_auc,0.7929,ml
fp_v1,comp3,21,test,lift_top10,6.0861,ml
fp_v1,comp3,21,test,n_test,7300.0,ml
fp_v1,comp3,21,test,pos_test,488.0,ml
fp_v1,comp3,24,test,auc,0.9457,ml
fp_v1,comp3,24,test,pr_auc,0.4647,ml
fp_v1,comp3,24,test,base_rate,0.0767,ml
fp_v1,comp3,24,test,rule_auc,0.7836,ml
fp_v1,comp3,24,test,lift_top10,6.1266,ml
fp_v1,comp3,24,test,n_test,7000.0,ml
fp_v1,comp3,24,test,pos_test,537.0,ml
fp_v1,comp3,28,test,auc,0.9357,ml
fp_v1,comp3,28,test,pr_auc,0.4499,ml
fp_v1,comp3,28,test,base_rate,0.0905,ml
fp_v1,comp3,28,test,rule_auc,0.7709,ml
fp_v1,comp3,28,test,lift_top10,4.7236,ml
fp_v1,comp3,28,test,n_test,6600.0,ml
fp_v1,comp3,28,test,pos_test,597.0,ml
fp_v1,comp3,35,test,auc,0.9451,ml
fp_v1,comp3,35,test,pr_auc,0.5896,ml
fp_v1,comp3,35,test,base_rate,0.1147,ml
fp_v1,comp3,35,test,rule_auc,0.7406,ml
fp_v1,comp3,35,test,lift_top10,5.096,ml
fp_v1,comp3,35,test,n_test,5900.0,ml
fp_v1,comp3,35,test,pos_test,677.0,ml
fp_v1,comp3,42,test,auc,0.9443,ml
fp_v1,comp3,42,test,pr_auc,0.6338,ml
fp_v1,comp3,42,test,base_rate,0.136,ml
fp_v1,comp3,42,test,rule_auc,0.7031,ml
fp_v1,comp3,42,test,lift_top10,4.8798,ml
fp_v1,comp3,42,test,n_test,5200.0,ml
fp_v1,comp3,42,test,pos_test,707.0,ml
fp_v1,comp4,7,test,auc,0.9733,ml
fp_v1,comp4,7,test,pr_auc,0.5645,ml
fp_v1,comp4,7,test,base_rate,0.0303,ml
fp_v1,comp4,7,test,rule_auc,0.789,ml
fp_v1,comp4,7,test,lift_top10,9.1667,ml
fp_v1,comp4,7,test,n_test,8700.0,ml
fp_v1,comp4,7,test,pos_test,264.0,ml
fp_v1,comp4,8,test,auc,0.9695,ml
fp_v1,comp4,8,test,pr_auc,0.5815,ml
fp_v1,comp4,8,test,base_rate,0.0347,ml
fp_v1,comp4,8,test,rule_auc,0.7866,ml
fp_v1,comp4,8,test,lift_top10,8.6913,ml
fp_v1,comp4,8,test,n_test,8600.0,ml
fp_v1,comp4,8,test,pos_test,298.0,ml
fp_v1,comp4,14,test,auc,0.9349,ml
fp_v1,comp4,14,test,pr_auc,0.4464,ml
fp_v1,comp4,14,test,base_rate,0.0617,ml
fp_v1,comp4,14,test,rule_auc,0.7768,ml
fp_v1,comp4,14,test,lift_top10,5.9312,ml
fp_v1,comp4,14,test,n_test,8000.0,ml
fp_v1,comp4,14,test,pos_test,494.0,ml
fp_v1,comp4,16,test,auc,0.9272,ml
fp_v1,comp4,16,test,pr_auc,0.4753,ml
fp_v1,comp4,16,test,base_rate,0.0715,ml
fp_v1,comp4,16,test,rule_auc,0.7733,ml
fp_v1,comp4,16,test,lift_top10,5.4122,ml
fp_v1,comp4,16,test,n_test,7800.0,ml
fp_v1,comp4,16,test,pos_test,558.0,ml
fp_v1,comp4,21,test,auc,0.9178,ml
fp_v1,comp4,21,test,pr_auc,0.4899,ml
fp_v1,comp4,21,test,base_rate,0.094,ml
fp_v1,comp4,21,test,rule_auc,0.7654,ml
fp_v1,comp4,21,test,lift_top10,4.8397,ml
fp_v1,comp4,21,test,n_test,7300.0,ml
fp_v1,comp4,21,test,pos_test,686.0,ml
fp_v1,comp4,24,test,auc,0.9189,ml
fp_v1,comp4,24,test,pr_auc,0.5448,ml
fp_v1,comp4,24,test,base_rate,0.107,ml
fp_v1,comp4,24,test,rule_auc,0.76,ml
fp_v1,comp4,24,test,lift_top10,4.6996,ml
fp_v1,comp4,24,test,n_test,7000.0,ml
fp_v1,comp4,24,test,pos_test,749.0,ml
fp_v1,comp4,28,test,auc,0.9067,ml
fp_v1,comp4,28,test,pr_auc,0.4675,ml
fp_v1,comp4,28,test,base_rate,0.1247,ml
fp_v1,comp4,28,test,rule_auc,0.752,ml
fp_v1,comp4,28,test,lift_top10,3.9004,ml
fp_v1,comp4,28,test,n_test,6600.0,ml
fp_v1,comp4,28,test,pos_test,823.0,ml
fp_v1,comp4,35,test,auc,0.9073,ml
fp_v1,comp4,35,test,pr_auc,0.5872,ml
fp_v1,comp4,35,test,base_rate,0.1532,ml
fp_v1,comp4,35,test,rule_auc,0.7321,ml
fp_v1,comp4,35,test,lift_top10,4.104,ml
fp_v1,comp4,35,test,n_test,5900.0,ml
fp_v1,comp4,35,test,pos_test,904.0,ml
fp_v1,comp4,42,test,auc,0.903,ml
fp_v1,comp4,42,test,pr_auc,0.6593,ml
fp_v1,comp4,42,test,base_rate,0.1804,ml
fp_v1,comp4,42,test,rule_auc,0.705,ml
fp_v1,comp4,42,test,lift_top10,3.5288,ml
fp_v1,comp4,42,test,n_test,5200.0,ml
fp_v1,comp4,42,test,pos_test,938.0,ml
fp_v1,comp1,7,test,auc,0.6583,dl
fp_v1,comp1,8,test,auc,0.6475,dl
fp_v1,comp1,14,test,auc,0.6107,dl
fp_v1,comp1,16,test,auc,0.6044,dl
fp_v1,comp1,21,test,auc,0.5992,dl
fp_v1,comp1,24,test,auc,0.5979,dl
fp_v1,comp1,28,test,auc,0.5847,dl
fp_v1,comp1,35,test,auc,0.5809,dl
fp_v1,comp1,42,test,auc,0.5753,dl
fp_v1,comp2,7,test,auc,0.6795,dl
fp_v1,comp2,8,test,auc,0.6622,dl
fp_v1,comp2,14,test,auc,0.6152,dl
fp_v1,comp2,16,test,auc,0.6058,dl
fp_v1,comp2,21,test,auc,0.5933,dl
fp_v1,comp2,24,test,auc,0.5891,dl
fp_v1,comp2,28,test,auc,0.5835,dl
fp_v1,comp2,35,test,auc,0.5944,dl
fp_v1,comp2,42,test,auc,0.5973,dl
fp_v1,comp3,7,test,auc,0.9339,dl
fp_v1,comp3,8,test,auc,0.9315,dl
fp_v1,comp3,14,test,auc,0.9319,dl
fp_v1,comp3,16,test,auc,0.9321,dl
fp_v1,comp3,21,test,auc,0.9336,dl
fp_v1,comp3,24,test,auc,0.9352,dl
fp_v1,comp3,28,test,auc,0.9356,dl
fp_v1,comp3,35,test,auc,0.9357,dl
fp_v1,comp3,42,test,auc,0.9307,dl
fp_v1,comp4,7,test,auc,0.9047,dl
fp_v1,comp4,8,test,auc,0.8972,dl
fp_v1,comp4,14,test,auc,0.8837,dl
fp_v1,comp4,16,test,auc,0.8833,dl
fp_v1,comp4,21,test,auc,0.8815,dl
fp_v1,comp4,24,test,auc,0.8787,dl
fp_v1,comp4,28,test,auc,0.8764,dl
fp_v1,comp4,35,test,auc,0.8794,dl
fp_v1,comp4,42,test,auc,0.883,dl
