order_id,component,ordered_at,expected_receipt_at,actual_receipt_at,quantity,status,value_source
PO-00025,comp2,2015-04-22 06:00:00,2015-05-27 06:00:00,2015-05-31 06:00:00,20,received,assumption:synthetic_operations_v1
PO-00026,comp3,2015-04-22 06:00:00,2015-05-06 06:00:00,2015-05-06 06:00:00,32,received,assumption:synthetic_operations_v1
PO-00027,comp4,2015-04-22 06:00:00,2015-05-13 06:00:00,2015-05-13 06:00:00,15,received,assumption:synthetic_operations_v1
PO-00028,comp1,2015-04-29 06:00:00,2015-05-06 06:00:00,2015-05-06 06:00:00,4,received,assumption:synthetic_operations_v1
PO-00029,comp2,2015-04-29 06:00:00,2015-06-03 06:00:00,2015-06-03 06:00:00,15,received,assumption:synthetic_operations_v1
PO-00030,comp3,2015-04-29 06:00:00,2015-05-13 06:00:00,2015-05-15 06:00:00,3,received,assumption:synthetic_operations_v1
PO-00031,comp4,2015-04-29 06:00:00,2015-05-20 06:00:00,2015-05-20 06:00:00,7,received,assumption:synthetic_operations_v1
PO-00032,comp1,2015-05-06 06:00:00,2015-05-13 06:00:00,2015-05-13 06:00:00,11,received,assumption:synthetic_operations_v1
PO-00033,comp2,2015-05-06 06:00:00,2015-06-10 06:00:00,2015-06-10 06:00:00,27,received,assumption:synthetic_operations_v1
PO-00034,comp3,2015-05-06 06:00:00,2015-05-20 06:00:00,2015-05-27 06:00:00,15,received,assumption:synthetic_operations_v1
PO-00035,comp4,2015-05-06 06:00:00,2015-05-27 06:00:00,2015-05-29 06:00:00,23,received,assumption:synthetic_operations_v1
PO-00036,comp1,2015-05-13 06:00:00,2015-05-20 06:00:00,2015-05-25 06:00:00,25,received,assumption:synthetic_operations_v1
PO-00037,comp2,2015-05-13 06:00:00,2015-06-17 06:00:00,2015-06-19 06:00:00,20,received,assumption:synthetic_operations_v1
PO-00038,comp3,2015-05-13 06:00:00,2015-05-27 06:00:00,2015-05-27 06:00:00,8,received,assumption:synthetic_operations_v1
PO-00039,comp4,2015-05-13 06:00:00,2015-06-03 06:00:00,2015-06-06 06:00:00,14,received,assumption:synthetic_operations_v1
PO-00040,comp1,2015-05-20 06:00:00,2015-05-27 06:00:00,2015-05-27 06:00:00,7,received,assumption:synthetic_operations_v1
PO-00041,comp2,2015-05-20 06:00:00,2015-06-24 06:00:00,2015-06-24 06:00:00,21,received,assumption:synthetic_operations_v1
PO-00042,comp3,2015-05-20 06:00:00,2015-06-03 06:00:00,2015-06-03 06:00:00,15,received,assumption:synthetic_operations_v1
PO-00043,comp4,2015-05-20 06:00:00,2015-06-10 06:00:00,2015-06-18 06:00:00,17,received,assumption:synthetic_operations_v1
PO-00044,comp1,2015-05-27 06:00:00,2015-06-03 06:00:00,2015-06-03 06:00:00,12,received,assumption:synthetic_operations_v1
PO-00045,comp2,2015-05-27 06:00:00,2015-07-01 06:00:00,2015-07-01 06:00:00,10,received,assumption:synthetic_operations_v1
PO-00046,comp3,2015-05-27 06:00:00,2015-06-10 06:00:00,2015-06-10 06:00:00,10,received,assumption:synthetic_operations_v1
PO-00047,comp4,2015-05-27 06:00:00,2015-06-17 06:00:00,2015-06-24 06:00:00,11,received,assumption:synthetic_operations_v1
PO-00048,comp1,2015-06-03 06:00:00,2015-06-10 06:00:00,2015-06-13 06:00:00,16,received,assumption:synthetic_operations_v1
PO-00049,comp2,2015-06-03 06:00:00,2015-07-08 06:00:00,2015-07-08 06:00:00,24,received,assumption:synthetic_operations_v1
PO-00050,comp3,2015-06-03 06:00:00,2015-06-17 06:00:00,2015-06-17 06:00:00,14,received,assumption:synthetic_operations_v1
PO-00051,comp4,2015-06-03 06:00:00,2015-06-24 06:00:00,2015-06-25 06:00:00,23,received,assumption:synthetic_operations_v1
PO-00052,comp1,2015-06-10 06:00:00,2015-06-17 06:00:00,2015-06-22 06:00:00,16,received,assumption:synthetic_operations_v1
PO-00053,comp2,2015-06-10 06:00:00,2015-07-15 06:00:00,2015-07-15 06:00:00,14,received,assumption:synthetic_operations_v1
PO-00054,comp3,2015-06-10 06:00:00,2015-06-24 06:00:00,2015-06-24 06:00:00,11,received,assumption:synthetic_operations_v1
PO-00055,comp4,2015-06-10 06:00:00,2015-07-01 06:00:00,2015-07-01 06:00:00,18,received,assumption:synthetic_operations_v1
PO-00056,comp1,2015-06-17 06:00:00,2015-06-24 06:00:00,2015-06-24 06:00:00,15,received,assumption:synthetic_operations_v1
PO-00057,comp2,2015-06-17 06:00:00,2015-07-22 06:00:00,2015-07-22 06:00:00,18,received,assumption:synthetic_operations_v1
PO-00058,comp3,2015-06-17 06:00:00,2015-07-01 06:00:00,2015-07-01 06:00:00,12,received,assumption:synthetic_operations_v1
PO-00059,comp4,2015-06-17 06:00:00,2015-07-08 06:00:00,2015-07-08 06:00:00,15,received,assumption:synthetic_operations_v1
PO-00060,comp1,2015-06-24 06:00:00,2015-07-01 06:00:00,2015-07-01 06:00:00,10,received,assumption:synthetic_operations_v1
PO-00061,comp2,2015-06-24 06:00:00,2015-07-29 06:00:00,2015-07-29 06:00:00,21,received,assumption:synthetic_operations_v1
PO-00062,comp3,2015-06-24 06:00:00,2015-07-08 06:00:00,2015-07-08 06:00:00,21,received,assumption:synthetic_operations_v1
PO-00063,comp4,2015-06-24 06:00:00,2015-07-15 06:00:00,2015-07-15 06:00:00,12,received,assumption:synthetic_operations_v1
PO-00064,comp1,2015-07-01 06:00:00,2015-07-08 06:00:00,2015-07-16 06:00:00,18,received,assumption:synthetic_operations_v1
PO-00065,comp2,2015-07-01 06:00:00,2015-08-05 06:00:00,2015-08-05 06:00:00,16,received,assumption:synthetic_operations_v1
PO-00066,comp3,2015-07-01 06:00:00,2015-07-15 06:00:00,2015-07-15 06:00:00,22,received,assumption:synthetic_operations_v1
PO-00067,comp4,2015-07-01 06:00:00,2015-07-22 06:00:00,2015-07-27 06:00:00,8,received,assumption:synthetic_operations_v1
PO-00068,comp1,2015-07-08 06:00:00,2015-07-15 06:00:00,2015-07-15 06:00:00,15,received,assumption:synthetic_operations_v1
PO-00069,comp2,2015-07-08 06:00:00,2015-08-12 06:00:00,2015-08-20 06:00:00,33,received,assumption:synthetic_operations_v1
PO-00070,comp3,2015-07-08 06:00:00,2015-07-22 06:00:00,2015-08-05 06:00:00,15,received,assumption:synthetic_operations_v1
PO-00071,comp4,2015-07-08 06:00:00,2015-07-29 06:00:00,2015-07-29 06:00:00,10,received,assumption:synthetic_operations_v1
PO-00072,comp1,2015-07-15 06:00:00,2015-07-22 06:00:00,2015-07-22 06:00:00,9,received,assumption:synthetic_operations_v1
PO-00073,comp2,2015-07-15 06:00:00,2015-08-19 06:00:00,2015-08-19 06:00:00,12,received,assumption:synthetic_operations_v1
PO-00074,comp3,2015-07-15 06:00:00,2015-07-29 06:00:00,2015-08-03 06:00:00,17,received,assumption:synthetic_operations_v1
PO-00075,comp4,2015-07-15 06:00:00,2015-08-05 06:00:00,2015-08-13 06:00:00,8,received,assumption:synthetic_operations_v1
PO-00076,comp1,2015-07-22 06:00:00,2015-07-29 06:00:00,2015-08-01 06:00:00,19,received,assumption:synthetic_operations_v1
PO-00077,comp2,2015-07-22 06:00:00,2015-08-26 06:00:00,2015-08-30 06:00:00,17,received,assumption:synthetic_operations_v1
PO-00078,comp3,2015-07-22 06:00:00,2015-08-05 06:00:00,2015-08-05 06:00:00,15,received,assumption:synthetic_operations_v1
PO-00079,comp4,2015-07-22 06:00:00,2015-08-12 06:00:00,2015-08-12 06:00:00,19,received,assumption:synthetic_operations_v1
PO-00080,comp1,2015-07-29 06:00:00,2015-08-05 06:00:00,2015-08-06 06:00:00,5,received,assumption:synthetic_operations_v1
PO-00081,comp2,2015-07-29 06:00:00,2015-09-02 06:00:00,2015-09-03 06:00:00,11,received,assumption:synthetic_operations_v1
PO-00082,comp3,2015-07-29 06:00:00,2015-08-12 06:00:00,2015-08-12 06:00:00,16,received,assumption:synthetic_operations_v1
PO-00083,comp4,2015-07-29 06:00:00,2015-08-19 06:00:00,2015-08-19 06:00:00,12,received,assumption:synthetic_operations_v1
PO-00084,comp1,2015-08-05 06:00:00,2015-08-12 06:00:00,2015-08-12 06:00:00,24,received,assumption:synthetic_operations_v1
PO-00085,comp2,2015-08-05 06:00:00,2015-09-09 06:00:00,2015-09-09 06:00:00,19,received,assumption:synthetic_operations_v1
PO-00086,comp3,2015-08-05 06:00:00,2015-08-19 06:00:00,2015-08-19 06:00:00,13,received,assumption:synthetic_operations_v1
PO-00087,comp4,2015-08-05 06:00:00,2015-08-26 06:00:00,2015-08-26 06:00:00,18,received,assumption:synthetic_operations_v1
PO-00088,comp1,2015-08-12 06:00:00,2015-08-19 06:00:00,2015-08-19 06:00:00,13,received,assumption:synthetic_operations_v1
PO-00089,comp2,2015-08-12 06:00:00,2015-09-16 06:00:00,2015-09-16 06:00:00,4,received,assumption:synthetic_operations_v1
PO-00090,comp3,2015-08-12 06:00:00,2015-08-26 06:00:00,2015-08-26 06:00:00,5,received,assumption:synthetic_operations_v1
PO-00091,comp4,2015-08-12 06:00:00,2015-09-02 06:00:00,2015-09-05 06:00:00,5,received,assumption:synthetic_operations_v1
PO-00092,comp1,2015-08-19 06:00:00,2015-08-26 06:00:00,2015-08-26 06:00:00,17,received,assumption:synthetic_operations_v1
PO-00093,comp2,2015-08-19 06:00:00,2015-09-23 06:00:00,2015-09-23 06:00:00,27,received,assumption:synthetic_operations_v1
PO-00094,comp3,2015-08-19 06:00:00,2015-09-02 06:00:00,2015-09-02 06:00:00,24,received,assumption:synthetic_operations_v1
PO-00095,comp4,2015-08-19 06:00:00,2015-09-09 06:00:00,2015-09-09 06:00:00,16,received,assumption:synthetic_operations_v1
PO-00096,comp1,2015-08-26 06:00:00,2015-09-02 06:00:00,2015-09-02 06:00:00,7,received,assumption:synthetic_operations_v1
PO-00097,comp2,2015-08-26 06:00:00,2015-09-30 06:00:00,2015-09-30 06:00:00,9,received,assumption:synthetic_operations_v1
PO-00098,comp3,2015-08-26 06:00:00,2015-09-09 06:00:00,2015-09-19 06:00:00,17,received,assumption:synthetic_operations_v1
PO-00099,comp4,2015-08-26 06:00:00,2015-09-16 06:00:00,2015-09-16 06:00:00,13,received,assumption:synthetic_operations_v1
PO-00100,comp1,2015-09-02 06:00:00,2015-09-09 06:00:00,2015-09-09 06:00:00,18,received,assumption:synthetic_operations_v1
PO-00101,comp2,2015-09-02 06:00:00,2015-10-07 06:00:00,2015-10-07 06:00:00,13,received,assumption:synthetic_operations_v1
PO-00102,comp3,2015-09-02 06:00:00,2015-09-16 06:00:00,2015-09-18 06:00:00,15,received,assumption:synthetic_operations_v1
PO-00103,comp4,2015-09-02 06:00:00,2015-09-23 06:00:00,2015-09-25 06:00:00,25,received,assumption:synthetic_operations_v1
PO-00104,comp1,2015-09-09 06:00:00,2015-09-16 06:00:00,2015-09-17 06:00:00,18,received,assumption:synthetic_operations_v1
PO-00105,comp2,2015-09-09 06:00:00,2015-10-14 06:00:00,2015-10-17 06:00:00,9,received,assumption:synthetic_operations_v1
PO-00106,comp3,2015-09-09 06:00:00,2015-09-23 06:00:00,2015-09-23 06:00:00,3,received,assumption:synthetic_operations_v1
PO-00107,comp4,2015-09-09 06:00:00,2015-09-30 06:00:00,2015-10-04 06:00:00,2,received,assumption:synthetic_operations_v1
PO-00108,comp1,2015-09-16 06:00:00,2015-09-23 06:00:00,2015-09-27 06:00:00,16,received,assumption:synthetic_operations_v1
PO-00109,comp2,2015-09-16 06:00:00,2015-10-21 06:00:00,2015-10-21 06:00:00,27,received,assumption:synthetic_operations_v1
PO-00110,comp3,2015-09-16 06:00:00,2015-09-30 06:00:00,2015-10-01 06:00:00,14,received,assumption:synthetic_operations_v1
PO-00111,comp4,2015-09-16 06:00:00,2015-10-07 06:00:00,2015-10-07 06:00:00,21,received,assumption:synthetic_operations_v1
PO-00112,comp1,2015-09-23 06:00:00,2015-09-30 06:00:00,2015-10-07 06:00:00,16,received,assumption:synthetic_operations_v1
PO-00113,comp2,2015-09-23 06:00:00,2015-10-28 06:00:00,2015-11-08 06:00:00,9,received,assumption:synthetic_operations_v1
PO-00114,comp3,2015-09-23 06:00:00,2015-10-07 06:00:00,2015-10-07 06:00:00,9,received,assumption:synthetic_operations_v1
PO-00115,comp4,2015-09-23 06:00:00,2015-10-14 06:00:00,2015-10-14 06:00:00,15,received,assumption:synthetic_operations_v1
PO-00116,comp1,2015-09-30 06:00:00,2015-10-07 06:00:00,2015-10-07 06:00:00,5,received,assumption:synthetic_operations_v1
PO-00117,comp2,2015-09-30 06:00:00,2015-11-04 06:00:00,2015-11-16 06:00:00,12,received,assumption:synthetic_operations_v1
PO-00118,comp3,2015-09-30 06:00:00,2015-10-14 06:00:00,2015-10-16 06:00:00,14,received,assumption:synthetic_operations_v1
PO-00119,comp4,2015-09-30 06:00:00,2015-10-21 06:00:00,2015-10-23 06:00:00,13,received,assumption:synthetic_operations_v1
PO-00120,comp1,2015-10-07 06:00:00,2015-10-14 06:00:00,2015-10-28 06:00:00,14,received,assumption:synthetic_operations_v1
PO-00121,comp2,2015-10-07 06:00:00,2015-11-11 06:00:00,2015-11-11 06:00:00,4,received,assumption:synthetic_operations_v1
PO-00122,comp3,2015-10-07 06:00:00,2015-10-21 06:00:00,2015-10-21 06:00:00,14,received,assumption:synthetic_operations_v1
PO-00123,comp4,2015-10-07 06:00:00,2015-10-28 06:00:00,2015-10-28 06:00:00,15,received,assumption:synthetic_operations_v1
PO-00124,comp1,2015-10-14 06:00:00,2015-10-21 06:00:00,2015-10-29 06:00:00,13,received,assumption:synthetic_operations_v1
PO-00125,comp2,2015-10-14 06:00:00,2015-11-18 06:00:00,2015-11-18 06:00:00,17,received,assumption:synthetic_operations_v1
PO-00126,comp3,2015-10-14 06:00:00,2015-10-28 06:00:00,2015-10-28 06:00:00,18,received,assumption:synthetic_operations_v1
PO-00127,comp4,2015-10-14 06:00:00,2015-11-04 06:00:00,2015-11-04 06:00:00,15,received,assumption:synthetic_operations_v1
PO-00128,comp1,2015-10-21 06:00:00,2015-10-28 06:00:00,2015-10-28 06:00:00,11,received,assumption:synthetic_operations_v1
PO-00129,comp2,2015-10-21 06:00:00,2015-11-25 06:00:00,2015-11-25 06:00:00,22,received,assumption:synthetic_operations_v1
PO-00130,comp3,2015-10-21 06:00:00,2015-11-04 06:00:00,2015-11-04 06:00:00,9,received,assumption:synthetic_operations_v1
PO-00131,comp4,2015-10-21 06:00:00,2015-11-11 06:00:00,2015-11-11 06:00:00,17,received,assumption:synthetic_operations_v1
PO-00132,comp1,2015-10-28 06:00:00,2015-11-04 06:00:00,2015-11-04 06:00:00,7,received,assumption:synthetic_operations_v1
PO-00133,comp2,2015-10-28 06:00:00,2015-12-02 06:00:00,2015-12-02 06:00:00,7,received,assumption:synthetic_operations_v1
PO-00134,comp3,2015-10-28 06:00:00,2015-11-11 06:00:00,2015-11-25 06:00:00,13,received,assumption:synthetic_operations_v1
PO-00135,comp4,2015-10-28 06:00:00,2015-11-18 06:00:00,2015-11-18 06:00:00,5,received,assumption:synthetic_operations_v1
PO-00136,comp1,2015-11-04 06:00:00,2015-11-11 06:00:00,2015-11-11 06:00:00,21,received,assumption:synthetic_operations_v1
PO-00137,comp2,2015-11-04 06:00:00,2015-12-09 06:00:00,2015-12-09 06:00:00,14,received,assumption:synthetic_operations_v1
PO-00138,comp3,2015-11-04 06:00:00,2015-11-18 06:00:00,2015-11-21 06:00:00,16,received,assumption:synthetic_operations_v1
PO-00139,comp4,2015-11-04 06:00:00,2015-11-25 06:00:00,2015-11-27 06:00:00,21,received,assumption:synthetic_operations_v1
PO-00140,comp1,2015-11-11 06:00:00,2015-11-18 06:00:00,2015-11-26 06:00:00,32,received,assumption:synthetic_operations_v1
PO-00141,comp2,2015-11-11 06:00:00,2015-12-16 06:00:00,2015-12-16 06:00:00,15,received,assumption:synthetic_operations_v1
PO-00142,comp3,2015-11-11 06:00:00,2015-11-25 06:00:00,2015-11-25 06:00:00,7,received,assumption:synthetic_operations_v1
PO-00143,comp4,2015-11-11 06:00:00,2015-12-02 06:00:00,2015-12-02 06:00:00,8,received,assumption:synthetic_operations_v1
PO-00144,comp2,2015-11-18 06:00:00,2015-12-23 06:00:00,2015-12-23 06:00:00,13,received,assumption:synthetic_operations_v1
PO-00145,comp3,2015-11-18 06:00:00,2015-12-02 06:00:00,2015-12-02 06:00:00,23,received,assumption:synthetic_operations_v1
PO-00146,comp4,2015-11-18 06:00:00,2015-12-09 06:00:00,2015-12-09 06:00:00,19,received,assumption:synthetic_operations_v1
PO-00147,comp2,2015-11-25 06:00:00,2015-12-30 06:00:00,2015-12-30 06:00:00,8,received,assumption:synthetic_operations_v1
PO-00148,comp3,2015-11-25 06:00:00,2015-12-09 06:00:00,2015-12-09 06:00:00,6,received,assumption:synthetic_operations_v1
PO-00149,comp4,2015-11-25 06:00:00,2015-12-16 06:00:00,2015-12-16 06:00:00,7,received,assumption:synthetic_operations_v1
PO-00150,comp1,2015-12-02 06:00:00,2015-12-09 06:00:00,2015-12-09 06:00:00,17,received,assumption:synthetic_operations_v1
PO-00151,comp2,2015-12-02 06:00:00,2016-01-06 06:00:00,,15,ordered,assumption:synthetic_operations_v1
PO-00152,comp3,2015-12-02 06:00:00,2015-12-16 06:00:00,2015-12-16 06:00:00,29,received,assumption:synthetic_operations_v1
PO-00153,comp4,2015-12-02 06:00:00,2015-12-23 06:00:00,2015-12-23 06:00:00,13,received,assumption:synthetic_operations_v1
PO-00154,comp1,2015-12-09 06:00:00,2015-12-16 06:00:00,2015-12-16 06:00:00,8,received,assumption:synthetic_operations_v1
PO-00155,comp2,2015-12-09 06:00:00,2016-01-13 06:00:00,,15,ordered,assumption:synthetic_operations_v1
PO-00156,comp3,2015-12-09 06:00:00,2015-12-23 06:00:00,2015-12-25 06:00:00,12,received,assumption:synthetic_operations_v1
PO-00157,comp4,2015-12-09 06:00:00,2015-12-30 06:00:00,2015-12-31 06:00:00,14,received,assumption:synthetic_operations_v1
PO-00158,comp1,2015-12-16 06:00:00,2015-12-23 06:00:00,2015-12-23 06:00:00,12,received,assumption:synthetic_operations_v1
PO-00159,comp2,2015-12-16 06:00:00,2016-01-20 06:00:00,,14,ordered,assumption:synthetic_operations_v1
PO-00160,comp3,2015-12-16 06:00:00,2015-12-30 06:00:00,2015-12-30 06:00:00,14,received,assumption:synthetic_operations_v1
PO-00161,comp4,2015-12-16 06:00:00,2016-01-06 06:00:00,,14,ordered,assumption:synthetic_operations_v1
PO-00162,comp1,2015-12-23 06:00:00,2015-12-30 06:00:00,2015-12-30 06:00:00,5,received,assumption:synthetic_operations_v1
PO-00163,comp2,2015-12-23 06:00:00,2016-01-27 06:00:00,,15,ordered,assumption:synthetic_operations_v1
PO-00164,comp3,2015-12-23 06:00:00,2016-01-06 06:00:00,,12,ordered,assumption:synthetic_operations_v1
PO-00165,comp4,2015-12-23 06:00:00,2016-01-13 06:00:00,,9,ordered,assumption:synthetic_operations_v1
PO-00166,comp1,2015-12-30 06:00:00,2016-01-06 06:00:00,,26,ordered,assumption:synthetic_operations_v1
PO-00167,comp2,2015-12-30 06:00:00,2016-02-03 06:00:00,,14,ordered,assumption:synthetic_operations_v1
PO-00168,comp3,2015-12-30 06:00:00,2016-01-13 06:00:00,,13,ordered,assumption:synthetic_operations_v1
PO-00169,comp4,2015-12-30 06:00:00,2016-01-20 06:00:00,,15,ordered,assumption:synthetic_operations_v1
