movement_id,occurred_at,lot_id,component,movement_type,quantity_delta,quality_status,record_id,value_source
MV-000122,2015-04-13 06:00:00,LOT-00012,comp1,issue,-1,available,MR-00114,assumption:synthetic_operations_v1
MV-000123,2015-04-13 06:00:00,LOT-00009,comp2,issue,-1,available,MR-00105,assumption:synthetic_operations_v1
MV-000124,2015-04-13 06:00:00,LOT-00009,comp2,issue,-1,available,MR-00108,assumption:synthetic_operations_v1
MV-000125,2015-04-13 06:00:00,LOT-00009,comp2,issue,-1,available,MR-00111,assumption:synthetic_operations_v1
MV-000126,2015-04-13 06:00:00,LOT-00009,comp2,issue,-1,available,MR-00112,assumption:synthetic_operations_v1
MV-000127,2015-04-13 06:00:00,LOT-00010,comp3,issue,-1,available,MR-00101,assumption:synthetic_operations_v1
MV-000128,2015-04-13 06:00:00,LOT-00010,comp3,issue,-1,available,MR-00103,assumption:synthetic_operations_v1
MV-000129,2015-04-13 06:00:00,LOT-00010,comp3,issue,-1,available,MR-00107,assumption:synthetic_operations_v1
MV-000130,2015-04-13 06:00:00,LOT-00011,comp4,issue,-1,available,MR-00100,assumption:synthetic_operations_v1
MV-000131,2015-04-13 06:00:00,LOT-00011,comp4,issue,-1,available,MR-00102,assumption:synthetic_operations_v1
MV-000132,2015-04-13 06:00:00,LOT-00011,comp4,issue,-1,available,MR-00109,assumption:synthetic_operations_v1
MV-000133,2015-04-13 06:00:00,LOT-00011,comp4,issue,-1,available,MR-00113,assumption:synthetic_operations_v1
MV-000134,2015-04-14 06:00:00,LOT-00012,comp1,issue,-1,available,MR-00115,assumption:synthetic_operations_v1
MV-000135,2015-04-14 06:00:00,LOT-00011,comp4,issue,-1,available,MR-00116,assumption:synthetic_operations_v1
MV-000136,2015-04-15 06:00:00,LOT-00016,comp3,receipt,6,available,,assumption:synthetic_operations_v1
MV-000137,2015-04-15 06:00:00,LOT-00017,comp1,receipt,21,available,,assumption:synthetic_operations_v1
MV-000138,2015-04-15 06:00:00,LOT-00012,comp1,issue,-1,available,MR-00117,assumption:synthetic_operations_v1
MV-000139,2015-04-15 06:00:00,LOT-00013,comp1,issue,-1,available,MR-00119,assumption:synthetic_operations_v1
MV-000140,2015-04-15 06:00:00,LOT-00013,comp1,issue,-1,available,MR-00120,assumption:synthetic_operations_v1
MV-000141,2015-04-15 06:00:00,LOT-00009,comp2,issue,-1,available,MR-00123,assumption:synthetic_operations_v1
MV-000142,2015-04-15 06:00:00,LOT-00010,comp3,issue,-1,available,MR-00118,assumption:synthetic_operations_v1
MV-000143,2015-04-15 06:00:00,LOT-00010,comp3,issue,-1,available,MR-00122,assumption:synthetic_operations_v1
MV-000144,2015-04-15 06:00:00,LOT-00010,comp3,issue,-1,available,MR-00124,assumption:synthetic_operations_v1
MV-000145,2015-04-15 06:00:00,LOT-00010,comp3,issue,-1,available,MR-00125,assumption:synthetic_operations_v1
MV-000146,2015-04-15 06:00:00,LOT-00010,comp3,issue,-1,available,MR-00126,assumption:synthetic_operations_v1
MV-000147,2015-04-15 06:00:00,LOT-00011,comp4,issue,-1,available,MR-00121,assumption:synthetic_operations_v1
MV-000148,2015-04-16 06:00:00,LOT-00013,comp1,issue,-1,available,MR-00131,assumption:synthetic_operations_v1
MV-000149,2015-04-16 06:00:00,LOT-00017,comp1,issue,-1,available,MR-00135,assumption:synthetic_operations_v1
MV-000150,2015-04-16 06:00:00,LOT-00017,comp1,issue,-1,available,MR-00137,assumption:synthetic_operations_v1
MV-000151,2015-04-16 06:00:00,LOT-00009,comp2,issue,-1,available,MR-00132,assumption:synthetic_operations_v1
MV-000152,2015-04-16 06:00:00,LOT-00009,comp2,issue,-1,available,MR-00134,assumption:synthetic_operations_v1
MV-000153,2015-04-16 06:00:00,LOT-00010,comp3,issue,-1,available,MR-00129,assumption:synthetic_operations_v1
MV-000154,2015-04-16 06:00:00,LOT-00011,comp4,issue,-1,available,MR-00127,assumption:synthetic_operations_v1
MV-000155,2015-04-16 06:00:00,LOT-00011,comp4,issue,-1,available,MR-00128,assumption:synthetic_operations_v1
MV-000156,2015-04-16 06:00:00,LOT-00011,comp4,issue,-1,available,MR-00133,assumption:synthetic_operations_v1
MV-000157,2015-04-17 06:00:00,LOT-00009,comp2,issue,-1,available,MR-00148,assumption:synthetic_operations_v1
MV-000158,2015-04-17 06:00:00,LOT-00009,comp2,issue,-1,available,MR-00150,assumption:synthetic_operations_v1
MV-000159,2015-04-17 06:00:00,LOT-00016,comp3,issue,-1,available,MR-00130,assumption:synthetic_operations_v1
MV-000160,2015-04-17 06:00:00,LOT-00016,comp3,issue,-1,available,MR-00136,assumption:synthetic_operations_v1
MV-000161,2015-04-17 06:00:00,LOT-00016,comp3,issue,-1,available,MR-00138,assumption:synthetic_operations_v1
MV-000162,2015-04-17 06:00:00,LOT-00016,comp3,issue,-1,available,MR-00139,assumption:synthetic_operations_v1
MV-000163,2015-04-17 06:00:00,LOT-00016,comp3,issue,-1,available,MR-00141,assumption:synthetic_operations_v1
MV-000164,2015-04-17 06:00:00,LOT-00016,comp3,issue,-1,available,MR-00142,assumption:synthetic_operations_v1
MV-000165,2015-04-17 06:00:00,LOT-00014,comp4,issue,-1,available,MR-00140,assumption:synthetic_operations_v1
MV-000166,2015-04-17 06:00:00,LOT-00014,comp4,issue,-1,available,MR-00144,assumption:synthetic_operations_v1
MV-000167,2015-04-17 06:00:00,LOT-00014,comp4,issue,-1,available,MR-00147,assumption:synthetic_operations_v1
MV-000168,2015-04-18 06:00:00,LOT-00018,comp2,receipt,13,available,,assumption:synthetic_operations_v1
MV-000169,2015-04-18 06:00:00,LOT-00009,comp2,issue,-1,available,MR-00151,assumption:synthetic_operations_v1
MV-000170,2015-04-18 06:00:00,LOT-00009,comp2,issue,-1,available,MR-00154,assumption:synthetic_operations_v1
MV-000171,2015-04-18 06:00:00,LOT-00014,comp4,issue,-1,available,MR-00152,assumption:synthetic_operations_v1
MV-000172,2015-04-18 06:00:00,LOT-00014,comp4,issue,-1,available,MR-00155,assumption:synthetic_operations_v1
MV-000173,2015-04-19 06:00:00,LOT-00019,comp3,receipt,12,available,,assumption:synthetic_operations_v1
MV-000174,2015-04-19 06:00:00,LOT-00020,comp4,receipt,13,available,,assumption:synthetic_operations_v1
MV-000175,2015-04-19 06:00:00,LOT-00017,comp1,issue,-1,available,MR-00161,assumption:synthetic_operations_v1
MV-000176,2015-04-19 06:00:00,LOT-00017,comp1,issue,-1,available,MR-00163,assumption:synthetic_operations_v1
MV-000177,2015-04-19 06:00:00,LOT-00017,comp1,issue,-1,available,MR-00164,assumption:synthetic_operations_v1
MV-000178,2015-04-19 06:00:00,LOT-00014,comp4,issue,-1,available,MR-00157,assumption:synthetic_operations_v1
MV-000179,2015-04-19 06:00:00,LOT-00014,comp4,issue,-1,available,MR-00159,assumption:synthetic_operations_v1
MV-000180,2015-04-19 06:00:00,LOT-00014,comp4,issue,-1,available,MR-00162,assumption:synthetic_operations_v1
MV-000181,2015-04-19 06:00:00,LOT-00014,comp4,issue,-1,available,MR-00167,assumption:synthetic_operations_v1
MV-000182,2015-04-20 06:00:00,LOT-00017,comp1,issue,-1,available,MR-00172,assumption:synthetic_operations_v1
MV-000183,2015-04-20 06:00:00,LOT-00017,comp1,issue,-1,available,MR-00178,assumption:synthetic_operations_v1
MV-000184,2015-04-20 06:00:00,LOT-00009,comp2,issue,-1,available,MR-00168,assumption:synthetic_operations_v1
MV-000185,2015-04-20 06:00:00,LOT-00009,comp2,issue,-1,available,MR-00169,assumption:synthetic_operations_v1
MV-000186,2015-04-20 06:00:00,LOT-00015,comp2,issue,-1,available,MR-00171,assumption:synthetic_operations_v1
MV-000187,2015-04-20 06:00:00,LOT-00015,comp2,issue,-1,available,MR-00174,assumption:synthetic_operations_v1
MV-000188,2015-04-20 06:00:00,LOT-00015,comp2,issue,-1,available,MR-00179,assumption:synthetic_operations_v1
MV-000189,2015-04-20 06:00:00,LOT-00015,comp2,issue,-1,available,MR-00180,assumption:synthetic_operations_v1
MV-000190,2015-04-20 06:00:00,LOT-00014,comp4,issue,-1,available,MR-00175,assumption:synthetic_operations_v1
MV-000191,2015-04-20 06:00:00,LOT-00014,comp4,issue,-1,available,MR-00177,assumption:synthetic_operations_v1
MV-000192,2015-04-21 06:00:00,LOT-00015,comp2,issue,-1,available,MR-00182,assumption:synthetic_operations_v1
MV-000193,2015-04-21 06:00:00,LOT-00015,comp2,issue,-1,available,MR-00184,assumption:synthetic_operations_v1
MV-000194,2015-04-21 06:00:00,LOT-00015,comp2,issue,-1,available,MR-00186,assumption:synthetic_operations_v1
MV-000195,2015-04-21 06:00:00,LOT-00015,comp2,issue,-1,available,MR-00188,assumption:synthetic_operations_v1
MV-000196,2015-04-21 06:00:00,LOT-00015,comp2,issue,-1,available,MR-00189,assumption:synthetic_operations_v1
MV-000197,2015-04-21 06:00:00,LOT-00019,comp3,issue,-1,available,MR-00143,assumption:synthetic_operations_v1
MV-000198,2015-04-21 06:00:00,LOT-00019,comp3,issue,-1,available,MR-00145,assumption:synthetic_operations_v1
MV-000199,2015-04-21 06:00:00,LOT-00019,comp3,issue,-1,available,MR-00146,assumption:synthetic_operations_v1
MV-000200,2015-04-21 06:00:00,LOT-00019,comp3,issue,-1,available,MR-00149,assumption:synthetic_operations_v1
MV-000201,2015-04-21 06:00:00,LOT-00019,comp3,issue,-1,available,MR-00153,assumption:synthetic_operations_v1
MV-000202,2015-04-21 06:00:00,LOT-00019,comp3,issue,-1,available,MR-00156,assumption:synthetic_operations_v1
MV-000203,2015-04-21 06:00:00,LOT-00019,comp3,issue,-1,available,MR-00158,assumption:synthetic_operations_v1
MV-000204,2015-04-21 06:00:00,LOT-00019,comp3,issue,-1,available,MR-00160,assumption:synthetic_operations_v1
MV-000205,2015-04-21 06:00:00,LOT-00019,comp3,issue,-1,available,MR-00165,assumption:synthetic_operations_v1
MV-000206,2015-04-21 06:00:00,LOT-00019,comp3,issue,-1,available,MR-00166,assumption:synthetic_operations_v1
MV-000207,2015-04-21 06:00:00,LOT-00019,comp3,issue,-1,available,MR-00170,assumption:synthetic_operations_v1
MV-000208,2015-04-21 06:00:00,LOT-00019,comp3,issue,-1,available,MR-00173,assumption:synthetic_operations_v1
MV-000209,2015-04-21 06:00:00,LOT-00014,comp4,issue,-1,available,MR-00187,assumption:synthetic_operations_v1
MV-000210,2015-04-22 06:00:00,LOT-00021,comp3,receipt,20,available,,assumption:synthetic_operations_v1
MV-000211,2015-04-22 06:00:00,LOT-00022,comp1,receipt,15,available,,assumption:synthetic_operations_v1
MV-000212,2015-04-22 06:00:00,LOT-00017,comp1,issue,-1,available,MR-00197,assumption:synthetic_operations_v1
MV-000213,2015-04-22 06:00:00,LOT-00017,comp1,issue,-1,available,MR-00198,assumption:synthetic_operations_v1
MV-000214,2015-04-22 06:00:00,LOT-00015,comp2,issue,-1,available,MR-00194,assumption:synthetic_operations_v1
MV-000215,2015-04-22 06:00:00,LOT-00014,comp4,issue,-1,available,MR-00192,assumption:synthetic_operations_v1
MV-000216,2015-04-22 07:00:00,LOT-00004,comp2,expiry,0,expired,,assumption:synthetic_operations_v1
MV-000217,2015-04-23 06:00:00,LOT-00015,comp2,issue,-1,available,MR-00199,assumption:synthetic_operations_v1
MV-000218,2015-04-23 06:00:00,LOT-00015,comp2,issue,-1,available,MR-00201,assumption:synthetic_operations_v1
MV-000219,2015-04-23 06:00:00,LOT-00015,comp2,issue,-1,available,MR-00202,assumption:synthetic_operations_v1
MV-000220,2015-04-23 06:00:00,LOT-00020,comp4,issue,-1,available,MR-00200,assumption:synthetic_operations_v1
MV-000221,2015-04-23 06:00:00,LOT-00020,comp4,issue,-1,available,MR-00203,assumption:synthetic_operations_v1
MV-000222,2015-04-24 06:00:00,LOT-00017,comp1,issue,-1,available,MR-00207,assumption:synthetic_operations_v1
MV-000223,2015-04-24 06:00:00,LOT-00021,comp3,issue,-1,available,MR-00176,assumption:synthetic_operations_v1
MV-000224,2015-04-24 06:00:00,LOT-00021,comp3,issue,-1,available,MR-00181,assumption:synthetic_operations_v1
MV-000225,2015-04-24 06:00:00,LOT-00021,comp3,issue,-1,available,MR-00183,assumption:synthetic_operations_v1
MV-000226,2015-04-24 06:00:00,LOT-00021,comp3,issue,-1,available,MR-00185,assumption:synthetic_operations_v1
MV-000227,2015-04-24 06:00:00,LOT-00021,comp3,issue,-1,available,MR-00190,assumption:synthetic_operations_v1
MV-000228,2015-04-24 06:00:00,LOT-00021,comp3,issue,-1,available,MR-00191,assumption:synthetic_operations_v1
MV-000229,2015-04-24 06:00:00,LOT-00021,comp3,issue,-1,available,MR-00193,assumption:synthetic_operations_v1
MV-000230,2015-04-24 06:00:00,LOT-00021,comp3,issue,-1,available,MR-00195,assumption:synthetic_operations_v1
MV-000231,2015-04-24 06:00:00,LOT-00021,comp3,issue,-1,available,MR-00196,assumption:synthetic_operations_v1
MV-000232,2015-04-24 06:00:00,LOT-00021,comp3,issue,-1,available,MR-00206,assumption:synthetic_operations_v1
MV-000233,2015-04-24 06:00:00,LOT-00020,comp4,issue,-1,available,MR-00208,assumption:synthetic_operations_v1
MV-000234,2015-04-25 06:00:00,LOT-00023,comp2,receipt,13,available,,assumption:synthetic_operations_v1
MV-000235,2015-04-25 06:00:00,LOT-00024,comp4,receipt,13,available,,assumption:synthetic_operations_v1
MV-000236,2015-04-25 06:00:00,LOT-00017,comp1,issue,-1,available,MR-00212,assumption:synthetic_operations_v1
MV-000237,2015-04-25 06:00:00,LOT-00018,comp2,issue,-1,available,MR-00204,assumption:synthetic_operations_v1
MV-000238,2015-04-25 06:00:00,LOT-00018,comp2,issue,-1,available,MR-00205,assumption:synthetic_operations_v1
