lot_id,component,received_at,quantity_on_hand,quantity_reserved,use_by_at,quality_status,value_source,order_id,quantity_received,ready_at,as_of
LOT-00017,comp1,2015-04-15 06:00:00,0,0,2015-10-12 06:00:00,expired,assumption:synthetic_operations_v1,PO-00016,21,2015-04-16 06:00:00,2016-01-01 06:00:00
LOT-00018,comp2,2015-04-18 06:00:00,0,0,2015-05-18 06:00:00,expired,assumption:synthetic_operations_v1,PO-00004,13,2015-04-25 06:00:00,2016-01-01 06:00:00
LOT-00019,comp3,2015-04-19 06:00:00,0,0,2015-07-18 06:00:00,expired,assumption:synthetic_operations_v1,PO-00008,12,2015-04-21 06:00:00,2016-01-01 06:00:00
LOT-00020,comp4,2015-04-19 06:00:00,0,0,2015-08-17 06:00:00,expired,assumption:synthetic_operations_v1,PO-00011,13,2015-04-22 06:00:00,2016-01-01 06:00:00
LOT-00021,comp3,2015-04-22 06:00:00,0,0,2015-07-21 06:00:00,expired,assumption:synthetic_operations_v1,PO-00018,20,2015-04-24 06:00:00,2016-01-01 06:00:00
LOT-00022,comp1,2015-04-22 06:00:00,0,0,2015-10-19 06:00:00,expired,assumption:synthetic_operations_v1,PO-00020,15,2015-04-23 06:00:00,2016-01-01 06:00:00
LOT-00023,comp2,2015-04-25 06:00:00,0,0,2015-05-25 06:00:00,expired,assumption:synthetic_operations_v1,PO-00005,13,2015-05-02 06:00:00,2016-01-01 06:00:00
LOT-00024,comp4,2015-04-25 06:00:00,0,0,2015-08-23 06:00:00,expired,assumption:synthetic_operations_v1,PO-00015,13,2015-04-28 06:00:00,2016-01-01 06:00:00
LOT-00025,comp4,2015-04-29 06:00:00,0,0,2015-08-27 06:00:00,expired,assumption:synthetic_operations_v1,PO-00019,20,2015-05-02 06:00:00,2016-01-01 06:00:00
LOT-00026,comp3,2015-04-29 06:00:00,0,0,2015-07-28 06:00:00,expired,assumption:synthetic_operations_v1,PO-00022,12,2015-05-01 06:00:00,2016-01-01 06:00:00
LOT-00027,comp1,2015-04-29 06:00:00,0,0,2015-10-26 06:00:00,expired,assumption:synthetic_operations_v1,PO-00024,9,2015-04-30 06:00:00,2016-01-01 06:00:00
LOT-00028,comp2,2015-05-02 06:00:00,0,0,2015-06-01 06:00:00,expired,assumption:synthetic_operations_v1,PO-00006,13,2015-05-09 06:00:00,2016-01-01 06:00:00
LOT-00029,comp2,2015-05-06 06:00:00,0,0,2015-06-05 06:00:00,expired,assumption:synthetic_operations_v1,PO-00013,20,2015-05-13 06:00:00,2016-01-01 06:00:00
LOT-00030,comp4,2015-05-06 06:00:00,0,0,2015-09-03 06:00:00,expired,assumption:synthetic_operations_v1,PO-00023,11,2015-05-09 06:00:00,2016-01-01 06:00:00
LOT-00031,comp3,2015-05-06 06:00:00,0,0,2015-08-04 06:00:00,expired,assumption:synthetic_operations_v1,PO-00026,32,2015-05-08 06:00:00,2016-01-01 06:00:00
LOT-00032,comp1,2015-05-06 06:00:00,0,0,2015-11-02 06:00:00,expired,assumption:synthetic_operations_v1,PO-00028,4,2015-05-07 06:00:00,2016-01-01 06:00:00
LOT-00033,comp4,2015-05-13 06:00:00,0,0,2015-09-10 06:00:00,expired,assumption:synthetic_operations_v1,PO-00027,15,2015-05-16 06:00:00,2016-01-01 06:00:00
LOT-00034,comp1,2015-05-13 06:00:00,0,0,2015-11-09 06:00:00,expired,assumption:synthetic_operations_v1,PO-00032,11,2015-05-14 06:00:00,2016-01-01 06:00:00
LOT-00035,comp3,2015-05-15 06:00:00,0,0,2015-08-13 06:00:00,expired,assumption:synthetic_operations_v1,PO-00030,3,2015-05-17 06:00:00,2016-01-01 06:00:00
LOT-00036,comp4,2015-05-20 06:00:00,0,0,2015-09-17 06:00:00,expired,assumption:synthetic_operations_v1,PO-00031,7,2015-05-23 06:00:00,2016-01-01 06:00:00
LOT-00037,comp2,2015-05-21 06:00:00,0,0,2015-06-20 06:00:00,expired,assumption:synthetic_operations_v1,PO-00021,11,2015-05-28 06:00:00,2016-01-01 06:00:00
LOT-00038,comp1,2015-05-25 06:00:00,0,0,2015-11-21 06:00:00,expired,assumption:synthetic_operations_v1,PO-00036,25,2015-05-26 06:00:00,2016-01-01 06:00:00
LOT-00039,comp2,2015-05-26 06:00:00,0,0,2015-06-25 06:00:00,expired,assumption:synthetic_operations_v1,PO-00017,15,2015-06-02 06:00:00,2016-01-01 06:00:00
LOT-00040,comp3,2015-05-27 06:00:00,0,0,2015-08-25 06:00:00,expired,assumption:synthetic_operations_v1,PO-00034,15,2015-05-29 06:00:00,2016-01-01 06:00:00
LOT-00041,comp3,2015-05-27 06:00:00,0,0,2015-08-25 06:00:00,expired,assumption:synthetic_operations_v1,PO-00038,8,2015-05-29 06:00:00,2016-01-01 06:00:00
LOT-00042,comp1,2015-05-27 06:00:00,0,0,2015-11-23 06:00:00,expired,assumption:synthetic_operations_v1,PO-00040,7,2015-05-28 06:00:00,2016-01-01 06:00:00
LOT-00043,comp4,2015-05-29 06:00:00,0,0,2015-09-26 06:00:00,expired,assumption:synthetic_operations_v1,PO-00035,23,2015-06-01 06:00:00,2016-01-01 06:00:00
LOT-00044,comp2,2015-05-31 06:00:00,0,0,2015-06-30 06:00:00,expired,assumption:synthetic_operations_v1,PO-00025,20,2015-06-07 06:00:00,2016-01-01 06:00:00
LOT-00045,comp2,2015-06-03 06:00:00,0,0,2015-07-03 06:00:00,expired,assumption:synthetic_operations_v1,PO-00029,15,2015-06-10 06:00:00,2016-01-01 06:00:00
LOT-00046,comp3,2015-06-03 06:00:00,0,0,2015-09-01 06:00:00,expired,assumption:synthetic_operations_v1,PO-00042,15,2015-06-05 06:00:00,2016-01-01 06:00:00
LOT-00047,comp1,2015-06-03 06:00:00,0,0,2015-11-30 06:00:00,expired,assumption:synthetic_operations_v1,PO-00044,12,2015-06-04 06:00:00,2016-01-01 06:00:00
LOT-00048,comp4,2015-06-06 06:00:00,0,0,2015-10-04 06:00:00,expired,assumption:synthetic_operations_v1,PO-00039,14,2015-06-09 06:00:00,2016-01-01 06:00:00
LOT-00049,comp2,2015-06-10 06:00:00,0,0,2015-07-10 06:00:00,expired,assumption:synthetic_operations_v1,PO-00033,27,2015-06-17 06:00:00,2016-01-01 06:00:00
LOT-00050,comp3,2015-06-10 06:00:00,0,0,2015-09-08 06:00:00,expired,assumption:synthetic_operations_v1,PO-00046,10,2015-06-12 06:00:00,2016-01-01 06:00:00
LOT-00051,comp1,2015-06-13 06:00:00,0,0,2015-12-10 06:00:00,expired,assumption:synthetic_operations_v1,PO-00048,16,2015-06-14 06:00:00,2016-01-01 06:00:00
LOT-00052,comp3,2015-06-17 06:00:00,0,0,2015-09-15 06:00:00,expired,assumption:synthetic_operations_v1,PO-00050,14,2015-06-19 06:00:00,2016-01-01 06:00:00
LOT-00053,comp4,2015-06-18 06:00:00,0,0,2015-10-16 06:00:00,expired,assumption:synthetic_operations_v1,PO-00043,17,2015-06-21 06:00:00,2016-01-01 06:00:00
LOT-00054,comp2,2015-06-19 06:00:00,0,0,2015-07-19 06:00:00,expired,assumption:synthetic_operations_v1,PO-00037,20,2015-06-26 06:00:00,2016-01-01 06:00:00
LOT-00055,comp1,2015-06-22 06:00:00,0,0,2015-12-19 06:00:00,expired,assumption:synthetic_operations_v1,PO-00052,16,2015-06-23 06:00:00,2016-01-01 06:00:00
LOT-00056,comp2,2015-06-24 06:00:00,0,0,2015-07-24 06:00:00,expired,assumption:synthetic_operations_v1,PO-00041,21,2015-07-01 06:00:00,2016-01-01 06:00:00
LOT-00057,comp4,2015-06-24 06:00:00,0,0,2015-10-22 06:00:00,expired,assumption:synthetic_operations_v1,PO-00047,11,2015-06-27 06:00:00,2016-01-01 06:00:00
LOT-00058,comp3,2015-06-24 06:00:00,0,0,2015-09-22 06:00:00,expired,assumption:synthetic_operations_v1,PO-00054,11,2015-06-26 06:00:00,2016-01-01 06:00:00
LOT-00059,comp1,2015-06-24 06:00:00,0,0,2015-12-21 06:00:00,expired,assumption:synthetic_operations_v1,PO-00056,15,2015-06-25 06:00:00,2016-01-01 06:00:00
LOT-00060,comp4,2015-06-25 06:00:00,0,0,2015-10-23 06:00:00,expired,assumption:synthetic_operations_v1,PO-00051,23,2015-06-28 06:00:00,2016-01-01 06:00:00
LOT-00061,comp2,2015-07-01 06:00:00,0,0,2015-07-31 06:00:00,expired,assumption:synthetic_operations_v1,PO-00045,10,2015-07-08 06:00:00,2016-01-01 06:00:00
LOT-00062,comp4,2015-07-01 06:00:00,0,0,2015-10-29 06:00:00,expired,assumption:synthetic_operations_v1,PO-00055,18,2015-07-04 06:00:00,2016-01-01 06:00:00
LOT-00063,comp3,2015-07-01 06:00:00,0,0,2015-09-29 06:00:00,expired,assumption:synthetic_operations_v1,PO-00058,12,2015-07-03 06:00:00,2016-01-01 06:00:00
LOT-00064,comp1,2015-07-01 06:00:00,0,0,2015-12-28 06:00:00,expired,assumption:synthetic_operations_v1,PO-00060,10,2015-07-02 06:00:00,2016-01-01 06:00:00
LOT-00065,comp2,2015-07-08 06:00:00,0,0,2015-08-07 06:00:00,expired,assumption:synthetic_operations_v1,PO-00049,24,2015-07-15 06:00:00,2016-01-01 06:00:00
LOT-00066,comp4,2015-07-08 06:00:00,0,0,2015-11-05 06:00:00,expired,assumption:synthetic_operations_v1,PO-00059,15,2015-07-11 06:00:00,2016-01-01 06:00:00
LOT-00067,comp3,2015-07-08 06:00:00,0,0,2015-10-06 06:00:00,expired,assumption:synthetic_operations_v1,PO-00062,21,2015-07-10 06:00:00,2016-01-01 06:00:00
LOT-00068,comp2,2015-07-15 06:00:00,0,0,2015-08-14 06:00:00,expired,assumption:synthetic_operations_v1,PO-00053,14,2015-07-22 06:00:00,2016-01-01 06:00:00
LOT-00069,comp4,2015-07-15 06:00:00,0,0,2015-11-12 06:00:00,expired,assumption:synthetic_operations_v1,PO-00063,12,2015-07-18 06:00:00,2016-01-01 06:00:00
LOT-00070,comp3,2015-07-15 06:00:00,0,0,2015-10-13 06:00:00,expired,assumption:synthetic_operations_v1,PO-00066,22,2015-07-17 06:00:00,2016-01-01 06:00:00
LOT-00071,comp1,2015-07-15 06:00:00,0,0,2016-01-11 06:00:00,available,assumption:synthetic_operations_v1,PO-00068,15,2015-07-16 06:00:00,2016-01-01 06:00:00
LOT-00072,comp1,2015-07-16 06:00:00,0,0,2016-01-12 06:00:00,available,assumption:synthetic_operations_v1,PO-00064,18,2015-07-17 06:00:00,2016-01-01 06:00:00
LOT-00073,comp2,2015-07-22 06:00:00,0,0,2015-08-21 06:00:00,expired,assumption:synthetic_operations_v1,PO-00057,18,2015-07-29 06:00:00,2016-01-01 06:00:00
LOT-00074,comp1,2015-07-22 06:00:00,0,0,2016-01-18 06:00:00,available,assumption:synthetic_operations_v1,PO-00072,9,2015-07-23 06:00:00,2016-01-01 06:00:00
LOT-00075,comp4,2015-07-27 06:00:00,0,0,2015-11-24 06:00:00,expired,assumption:synthetic_operations_v1,PO-00067,8,2015-07-30 06:00:00,2016-01-01 06:00:00
LOT-00076,comp2,2015-07-29 06:00:00,0,0,2015-08-28 06:00:00,expired,assumption:synthetic_operations_v1,PO-00061,21,2015-08-05 06:00:00,2016-01-01 06:00:00
LOT-00077,comp4,2015-07-29 06:00:00,0,0,2015-11-26 06:00:00,expired,assumption:synthetic_operations_v1,PO-00071,10,2015-08-01 06:00:00,2016-01-01 06:00:00
LOT-00078,comp1,2015-08-01 06:00:00,0,0,2016-01-28 06:00:00,available,assumption:synthetic_operations_v1,PO-00076,19,2015-08-02 06:00:00,2016-01-01 06:00:00
LOT-00079,comp3,2015-08-03 06:00:00,0,0,2015-11-01 06:00:00,expired,assumption:synthetic_operations_v1,PO-00074,17,2015-08-05 06:00:00,2016-01-01 06:00:00
LOT-00080,comp2,2015-08-05 06:00:00,0,0,2015-09-04 06:00:00,expired,assumption:synthetic_operations_v1,PO-00065,16,2015-08-12 06:00:00,2016-01-01 06:00:00
LOT-00081,comp3,2015-08-05 06:00:00,0,0,2015-11-03 06:00:00,expired,assumption:synthetic_operations_v1,PO-00070,15,2015-08-07 06:00:00,2016-01-01 06:00:00
LOT-00082,comp3,2015-08-05 06:00:00,0,0,2015-11-03 06:00:00,expired,assumption:synthetic_operations_v1,PO-00078,15,2015-08-07 06:00:00,2016-01-01 06:00:00
LOT-00083,comp1,2015-08-06 06:00:00,0,0,2016-02-02 06:00:00,available,assumption:synthetic_operations_v1,PO-00080,5,2015-08-07 06:00:00,2016-01-01 06:00:00
LOT-00084,comp4,2015-08-12 06:00:00,0,0,2015-12-10 06:00:00,expired,assumption:synthetic_operations_v1,PO-00079,19,2015-08-15 06:00:00,2016-01-01 06:00:00
LOT-00085,comp3,2015-08-12 06:00:00,0,0,2015-11-10 06:00:00,expired,assumption:synthetic_operations_v1,PO-00082,16,2015-08-14 06:00:00,2016-01-01 06:00:00
LOT-00086,comp1,2015-08-12 06:00:00,0,0,2016-02-08 06:00:00,available,assumption:synthetic_operations_v1,PO-00084,24,2015-08-13 06:00:00,2016-01-01 06:00:00
LOT-00087,comp4,2015-08-13 06:00:00,0,0,2015-12-11 06:00:00,expired,assumption:synthetic_operations_v1,PO-00075,8,2015-08-16 06:00:00,2016-01-01 06:00:00
LOT-00088,comp2,2015-08-19 06:00:00,0,0,2015-09-18 06:00:00,expired,assumption:synthetic_operations_v1,PO-00073,12,2015-08-26 06:00:00,2016-01-01 06:00:00
LOT-00089,comp4,2015-08-19 06:00:00,0,0,2015-12-17 06:00:00,expired,assumption:synthetic_operations_v1,PO-00083,12,2015-08-22 06:00:00,2016-01-01 06:00:00
LOT-00090,comp3,2015-08-19 06:00:00,0,0,2015-11-17 06:00:00,expired,assumption:synthetic_operations_v1,PO-00086,13,2015-08-21 06:00:00,2016-01-01 06:00:00
LOT-00091,comp1,2015-08-19 06:00:00,0,0,2016-02-15 06:00:00,available,assumption:synthetic_operations_v1,PO-00088,13,2015-08-20 06:00:00,2016-01-01 06:00:00
LOT-00092,comp2,2015-08-20 06:00:00,0,0,2015-09-19 06:00:00,expired,assumption:synthetic_operations_v1,PO-00069,33,2015-08-27 06:00:00,2016-01-01 06:00:00
LOT-00093,comp4,2015-08-26 06:00:00,0,0,2015-12-24 06:00:00,expired,assumption:synthetic_operations_v1,PO-00087,18,2015-08-29 06:00:00,2016-01-01 06:00:00
LOT-00094,comp3,2015-08-26 06:00:00,0,0,2015-11-24 06:00:00,expired,assumption:synthetic_operations_v1,PO-00090,5,2015-08-28 06:00:00,2016-01-01 06:00:00
LOT-00095,comp1,2015-08-26 06:00:00,0,0,2016-02-22 06:00:00,available,assumption:synthetic_operations_v1,PO-00092,17,2015-08-27 06:00:00,2016-01-01 06:00:00
LOT-00096,comp2,2015-08-30 06:00:00,0,0,2015-09-29 06:00:00,expired,assumption:synthetic_operations_v1,PO-00077,17,2015-09-06 06:00:00,2016-01-01 06:00:00
LOT-00097,comp3,2015-09-02 06:00:00,0,0,2015-12-01 06:00:00,expired,assumption:synthetic_operations_v1,PO-00094,24,2015-09-04 06:00:00,2016-01-01 06:00:00
LOT-00098,comp1,2015-09-02 06:00:00,0,0,2016-02-29 06:00:00,available,assumption:synthetic_operations_v1,PO-00096,7,2015-09-03 06:00:00,2016-01-01 06:00:00
LOT-00099,comp2,2015-09-03 06:00:00,0,0,2015-10-03 06:00:00,expired,assumption:synthetic_operations_v1,PO-00081,11,2015-09-10 06:00:00,2016-01-01 06:00:00
LOT-00100,comp4,2015-09-05 06:00:00,0,0,2016-01-03 06:00:00,available,assumption:synthetic_operations_v1,PO-00091,5,2015-09-08 06:00:00,2016-01-01 06:00:00
LOT-00101,comp2,2015-09-09 06:00:00,0,0,2015-10-09 06:00:00,expired,assumption:synthetic_operations_v1,PO-00085,19,2015-09-16 06:00:00,2016-01-01 06:00:00
LOT-00102,comp4,2015-09-09 06:00:00,0,0,2016-01-07 06:00:00,available,assumption:synthetic_operations_v1,PO-00095,16,2015-09-12 06:00:00,2016-01-01 06:00:00
LOT-00103,comp1,2015-09-09 06:00:00,0,0,2016-03-07 06:00:00,available,assumption:synthetic_operations_v1,PO-00100,18,2015-09-10 06:00:00,2016-01-01 06:00:00
LOT-00104,comp2,2015-09-16 06:00:00,0,0,2015-10-16 06:00:00,expired,assumption:synthetic_operations_v1,PO-00089,4,2015-09-23 06:00:00,2016-01-01 06:00:00
LOT-00105,comp4,2015-09-16 06:00:00,0,0,2016-01-14 06:00:00,available,assumption:synthetic_operations_v1,PO-00099,13,2015-09-19 06:00:00,2016-01-01 06:00:00
LOT-00106,comp1,2015-09-17 06:00:00,0,0,2016-03-15 06:00:00,available,assumption:synthetic_operations_v1,PO-00104,18,2015-09-18 06:00:00,2016-01-01 06:00:00
LOT-00107,comp3,2015-09-18 06:00:00,0,0,2015-12-17 06:00:00,expired,assumption:synthetic_operations_v1,PO-00102,15,2015-09-20 06:00:00,2016-01-01 06:00:00
LOT-00108,comp3,2015-09-19 06:00:00,0,0,2015-12-18 06:00:00,expired,assumption:synthetic_operations_v1,PO-00098,17,2015-09-21 06:00:00,2016-01-01 06:00:00
LOT-00109,comp2,2015-09-23 06:00:00,0,0,2015-10-23 06:00:00,expired,assumption:synthetic_operations_v1,PO-00093,27,2015-09-30 06:00:00,2016-01-01 06:00:00
LOT-00110,comp3,2015-09-23 06:00:00,0,0,2015-12-22 06:00:00,expired,assumption:synthetic_operations_v1,PO-00106,3,2015-09-25 06:00:00,2016-01-01 06:00:00
LOT-00111,comp4,2015-09-25 06:00:00,0,0,2016-01-23 06:00:00,available,assumption:synthetic_operations_v1,PO-00103,25,2015-09-28 06:00:00,2016-01-01 06:00:00
LOT-00112,comp1,2015-09-27 06:00:00,0,0,2016-03-25 06:00:00,available,assumption:synthetic_operations_v1,PO-00108,16,2015-09-28 06:00:00,2016-01-01 06:00:00
LOT-00113,comp2,2015-09-30 06:00:00,0,0,2015-10-30 06:00:00,expired,assumption:synthetic_operations_v1,PO-00097,9,2015-10-07 06:00:00,2016-01-01 06:00:00
LOT-00114,comp3,2015-10-01 06:00:00,0,0,2015-12-30 06:00:00,expired,assumption:synthetic_operations_v1,PO-00110,14,2015-10-03 06:00:00,2016-01-01 06:00:00
LOT-00115,comp4,2015-10-04 06:00:00,0,0,2016-02-01 06:00:00,available,assumption:synthetic_operations_v1,PO-00107,2,2015-10-07 06:00:00,2016-01-01 06:00:00
LOT-00116,comp2,2015-10-07 06:00:00,0,0,2015-11-06 06:00:00,expired,assumption:synthetic_operations_v1,PO-00101,13,2015-10-14 06:00:00,2016-01-01 06:00:00
LOT-00117,comp4,2015-10-07 06:00:00,0,0,2016-02-04 06:00:00,available,assumption:synthetic_operations_v1,PO-00111,21,2015-10-10 06:00:00,2016-01-01 06:00:00
LOT-00118,comp1,2015-10-07 06:00:00,0,0,2016-04-04 06:00:00,available,assumption:synthetic_operations_v1,PO-00112,16,2015-10-08 06:00:00,2016-01-01 06:00:00
LOT-00119,comp3,2015-10-07 06:00:00,0,0,2016-01-05 06:00:00,available,assumption:synthetic_operations_v1,PO-00114,9,2015-10-09 06:00:00,2016-01-01 06:00:00
LOT-00120,comp1,2015-10-07 06:00:00,0,0,2016-04-04 06:00:00,available,assumption:synthetic_operations_v1,PO-00116,5,2015-10-08 06:00:00,2016-01-01 06:00:00
LOT-00121,comp4,2015-10-14 06:00:00,0,0,2016-02-11 06:00:00,available,assumption:synthetic_operations_v1,PO-00115,15,2015-10-17 06:00:00,2016-01-01 06:00:00
LOT-00122,comp3,2015-10-16 06:00:00,0,0,2016-01-14 06:00:00,available,assumption:synthetic_operations_v1,PO-00118,14,2015-10-18 06:00:00,2016-01-01 06:00:00
LOT-00123,comp2,2015-10-17 06:00:00,0,0,2015-11-16 06:00:00,expired,assumption:synthetic_operations_v1,PO-00105,9,2015-10-24 06:00:00,2016-01-01 06:00:00
LOT-00124,comp2,2015-10-21 06:00:00,0,0,2015-11-20 06:00:00,expired,assumption:synthetic_operations_v1,PO-00109,27,2015-10-28 06:00:00,2016-01-01 06:00:00
LOT-00125,comp3,2015-10-21 06:00:00,0,0,2016-01-19 06:00:00,available,assumption:synthetic_operations_v1,PO-00122,14,2015-10-23 06:00:00,2016-01-01 06:00:00
LOT-00126,comp4,2015-10-23 06:00:00,0,0,2016-02-20 06:00:00,available,assumption:synthetic_operations_v1,PO-00119,13,2015-10-26 06:00:00,2016-01-01 06:00:00
LOT-00127,comp1,2015-10-28 06:00:00,0,0,2016-04-25 06:00:00,available,assumption:synthetic_operations_v1,PO-00120,14,2015-10-29 06:00:00,2016-01-01 06:00:00
LOT-00128,comp4,2015-10-28 06:00:00,0,0,2016-02-25 06:00:00,available,assumption:synthetic_operations_v1,PO-00123,15,2015-10-31 06:00:00,2016-01-01 06:00:00
LOT-00129,comp3,2015-10-28 06:00:00,0,0,2016-01-26 06:00:00,available,assumption:synthetic_operations_v1,PO-00126,18,2015-10-30 06:00:00,2016-01-01 06:00:00
LOT-00130,comp1,2015-10-28 06:00:00,0,0,2016-04-25 06:00:00,available,assumption:synthetic_operations_v1,PO-00128,11,2015-10-29 06:00:00,2016-01-01 06:00:00
LOT-00131,comp1,2015-10-29 06:00:00,0,0,2016-04-26 06:00:00,available,assumption:synthetic_operations_v1,PO-00124,13,2015-10-30 06:00:00,2016-01-01 06:00:00
LOT-00132,comp4,2015-11-04 06:00:00,0,0,2016-03-03 06:00:00,available,assumption:synthetic_operations_v1,PO-00127,15,2015-11-07 06:00:00,2016-01-01 06:00:00
LOT-00133,comp3,2015-11-04 06:00:00,0,0,2016-02-02 06:00:00,available,assumption:synthetic_operations_v1,PO-00130,9,2015-11-06 06:00:00,2016-01-01 06:00:00
LOT-00134,comp1,2015-11-04 06:00:00,0,0,2016-05-02 06:00:00,available,assumption:synthetic_operations_v1,PO-00132,7,2015-11-05 06:00:00,2016-01-01 06:00:00
LOT-00135,comp2,2015-11-08 06:00:00,0,0,2015-12-08 06:00:00,expired,assumption:synthetic_operations_v1,PO-00113,9,2015-11-15 06:00:00,2016-01-01 06:00:00
LOT-00136,comp2,2015-11-11 06:00:00,0,0,2015-12-11 06:00:00,expired,assumption:synthetic_operations_v1,PO-00121,4,2015-11-18 06:00:00,2016-01-01 06:00:00
LOT-00137,comp4,2015-11-11 06:00:00,0,0,2016-03-10 06:00:00,available,assumption:synthetic_operations_v1,PO-00131,17,2015-11-14 06:00:00,2016-01-01 06:00:00
LOT-00138,comp1,2015-11-11 06:00:00,0,0,2016-05-09 06:00:00,available,assumption:synthetic_operations_v1,PO-00136,21,2015-11-12 06:00:00,2016-01-01 06:00:00
LOT-00139,comp2,2015-11-16 06:00:00,0,0,2015-12-16 06:00:00,expired,assumption:synthetic_operations_v1,PO-00117,12,2015-11-23 06:00:00,2016-01-01 06:00:00
LOT-00140,comp2,2015-11-18 06:00:00,0,0,2015-12-18 06:00:00,expired,assumption:synthetic_operations_v1,PO-00125,17,2015-11-25 06:00:00,2016-01-01 06:00:00
LOT-00141,comp4,2015-11-18 06:00:00,0,0,2016-03-17 06:00:00,available,assumption:synthetic_operations_v1,PO-00135,5,2015-11-21 06:00:00,2016-01-01 06:00:00
LOT-00142,comp3,2015-11-21 06:00:00,0,0,2016-02-19 06:00:00,available,assumption:synthetic_operations_v1,PO-00138,16,2015-11-23 06:00:00,2016-01-01 06:00:00
LOT-00143,comp2,2015-11-25 06:00:00,0,0,2015-12-25 06:00:00,expired,assumption:synthetic_operations_v1,PO-00129,22,2015-12-02 06:00:00,2016-01-01 06:00:00
LOT-00144,comp3,2015-11-25 06:00:00,0,0,2016-02-23 06:00:00,available,assumption:synthetic_operations_v1,PO-00134,13,2015-11-27 06:00:00,2016-01-01 06:00:00
LOT-00145,comp3,2015-11-25 06:00:00,0,0,2016-02-23 06:00:00,available,assumption:synthetic_operations_v1,PO-00142,7,2015-11-27 06:00:00,2016-01-01 06:00:00
LOT-00146,comp1,2015-11-26 06:00:00,0,0,2016-05-24 06:00:00,available,assumption:synthetic_operations_v1,PO-00140,32,2015-11-27 06:00:00,2016-01-01 06:00:00
LOT-00147,comp4,2015-11-27 06:00:00,0,0,2016-03-26 06:00:00,available,assumption:synthetic_operations_v1,PO-00139,21,2015-11-30 06:00:00,2016-01-01 06:00:00
LOT-00148,comp2,2015-12-02 06:00:00,0,0,2016-01-01 06:00:00,available,assumption:synthetic_operations_v1,PO-00133,7,2015-12-09 06:00:00,2016-01-01 06:00:00
LOT-00149,comp4,2015-12-02 06:00:00,0,0,2016-03-31 06:00:00,available,assumption:synthetic_operations_v1,PO-00143,8,2015-12-05 06:00:00,2016-01-01 06:00:00
LOT-00150,comp3,2015-12-02 06:00:00,0,0,2016-03-01 06:00:00,available,assumption:synthetic_operations_v1,PO-00145,23,2015-12-04 06:00:00,2016-01-01 06:00:00
