record_id,machineID,component,planned_at,completed_at,maintenance_type,used_lot_id,quantity_used,result,value_source,source_event_at,quantity_requested
MR-00011,58,comp2,2015-04-01 06:00:00,2015-04-01 06:00:00,observed_replacement_demand,LOT-00003,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-01 06:00:00,1
MR-00012,65,comp1,2015-04-01 06:00:00,2015-04-01 06:00:00,observed_replacement_demand,LOT-00001,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-01 06:00:00,1
MR-00013,65,comp3,2015-04-01 06:00:00,2015-04-01 06:00:00,observed_replacement_demand,LOT-00005,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-01 06:00:00,1
MR-00014,67,comp3,2015-04-01 06:00:00,2015-04-01 06:00:00,observed_replacement_demand,LOT-00005,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-01 06:00:00,1
MR-00015,83,comp4,2015-04-01 06:00:00,2015-04-01 06:00:00,observed_replacement_demand,LOT-00007,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-01 06:00:00,1
MR-00016,93,comp2,2015-04-01 06:00:00,2015-04-01 06:00:00,observed_replacement_demand,LOT-00003,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-01 06:00:00,1
MR-00017,4,comp2,2015-04-02 06:00:00,2015-04-02 06:00:00,observed_replacement_demand,LOT-00003,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-02 06:00:00,1
MR-00018,4,comp4,2015-04-02 06:00:00,2015-04-02 06:00:00,observed_replacement_demand,LOT-00007,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-02 06:00:00,1
MR-00019,16,comp1,2015-04-02 06:00:00,2015-04-02 06:00:00,observed_replacement_demand,LOT-00001,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-02 06:00:00,1
MR-00020,24,comp4,2015-04-02 06:00:00,2015-04-02 06:00:00,observed_replacement_demand,LOT-00007,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-02 06:00:00,1
MR-00021,29,comp4,2015-04-02 06:00:00,2015-04-02 06:00:00,observed_replacement_demand,LOT-00008,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-02 06:00:00,1
MR-00022,38,comp2,2015-04-02 06:00:00,2015-04-02 06:00:00,observed_replacement_demand,LOT-00003,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-02 06:00:00,1
MR-00023,68,comp2,2015-04-02 06:00:00,2015-04-02 06:00:00,observed_replacement_demand,LOT-00004,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-02 06:00:00,1
MR-00024,73,comp1,2015-04-02 06:00:00,2015-04-02 06:00:00,observed_replacement_demand,LOT-00001,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-02 06:00:00,1
MR-00025,79,comp1,2015-04-02 06:00:00,2015-04-02 06:00:00,observed_replacement_demand,LOT-00001,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-02 06:00:00,1
MR-00026,81,comp1,2015-04-02 06:00:00,2015-04-02 06:00:00,observed_replacement_demand,LOT-00001,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-02 06:00:00,1
MR-00027,81,comp3,2015-04-02 06:00:00,2015-04-02 06:00:00,observed_replacement_demand,LOT-00005,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-02 06:00:00,1
MR-00028,91,comp1,2015-04-02 06:00:00,2015-04-02 06:00:00,observed_replacement_demand,LOT-00001,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-02 06:00:00,1
MR-00029,2,comp3,2015-04-03 06:00:00,2015-04-03 06:00:00,observed_replacement_demand,LOT-00005,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-03 06:00:00,1
MR-00030,9,comp1,2015-04-03 06:00:00,2015-04-03 06:00:00,observed_replacement_demand,LOT-00001,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-03 06:00:00,1
MR-00031,76,comp3,2015-04-03 06:00:00,2015-04-03 06:00:00,observed_replacement_demand,LOT-00005,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-03 06:00:00,1
MR-00032,96,comp4,2015-04-03 06:00:00,2015-04-03 06:00:00,observed_replacement_demand,LOT-00008,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-03 06:00:00,1
MR-00033,99,comp2,2015-04-03 06:00:00,2015-04-03 06:00:00,observed_replacement_demand,LOT-00004,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-03 06:00:00,1
MR-00034,10,comp2,2015-04-04 06:00:00,2015-04-04 06:00:00,observed_replacement_demand,LOT-00004,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-04 06:00:00,1
MR-00035,20,comp1,2015-04-04 06:00:00,2015-04-04 06:00:00,observed_replacement_demand,LOT-00002,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-04 06:00:00,1
MR-00036,20,comp3,2015-04-04 06:00:00,2015-04-04 06:00:00,observed_replacement_demand,LOT-00005,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-04 06:00:00,1
MR-00037,25,comp1,2015-04-04 06:00:00,2015-04-04 06:00:00,observed_replacement_demand,LOT-00002,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-04 06:00:00,1
MR-00038,37,comp2,2015-04-04 06:00:00,2015-04-04 06:00:00,observed_replacement_demand,LOT-00004,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-04 06:00:00,1
MR-00039,40,comp1,2015-04-04 06:00:00,2015-04-04 06:00:00,observed_replacement_demand,LOT-00002,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-04 06:00:00,1
MR-00040,52,comp2,2015-04-04 06:00:00,2015-04-04 06:00:00,observed_replacement_demand,LOT-00004,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-04 06:00:00,1
MR-00041,52,comp3,2015-04-04 06:00:00,2015-04-04 06:00:00,observed_replacement_demand,LOT-00005,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-04 06:00:00,1
MR-00042,66,comp3,2015-04-04 06:00:00,2015-04-04 06:00:00,observed_replacement_demand,LOT-00006,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-04 06:00:00,1
MR-00043,66,comp4,2015-04-04 06:00:00,2015-04-04 06:00:00,observed_replacement_demand,LOT-00008,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-04 06:00:00,1
MR-00044,88,comp2,2015-04-04 06:00:00,2015-04-04 06:00:00,observed_replacement_demand,LOT-00004,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-04 06:00:00,1
MR-00045,1,comp3,2015-04-05 06:00:00,2015-04-05 06:00:00,observed_replacement_demand,LOT-00006,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-05 06:00:00,1
MR-00046,11,comp4,2015-04-05 06:00:00,2015-04-05 06:00:00,observed_replacement_demand,LOT-00008,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-05 06:00:00,1
MR-00047,15,comp3,2015-04-05 06:00:00,2015-04-05 06:00:00,observed_replacement_demand,LOT-00006,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-05 06:00:00,1
MR-00048,23,comp1,2015-04-05 06:00:00,2015-04-05 06:00:00,observed_replacement_demand,LOT-00002,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-05 06:00:00,1
MR-00049,23,comp4,2015-04-05 06:00:00,2015-04-05 06:00:00,observed_replacement_demand,LOT-00008,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-05 06:00:00,1
MR-00050,59,comp4,2015-04-05 06:00:00,2015-04-05 06:00:00,observed_replacement_demand,LOT-00008,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-05 06:00:00,1
MR-00051,64,comp2,2015-04-05 06:00:00,2015-04-05 06:00:00,observed_replacement_demand,LOT-00004,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-05 06:00:00,1
MR-00052,64,comp3,2015-04-05 06:00:00,2015-04-05 06:00:00,observed_replacement_demand,LOT-00006,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-05 06:00:00,1
MR-00053,69,comp1,2015-04-05 06:00:00,2015-04-05 06:00:00,observed_replacement_demand,LOT-00002,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-05 06:00:00,1
MR-00054,84,comp2,2015-04-05 06:00:00,2015-04-05 06:00:00,observed_replacement_demand,LOT-00004,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-05 06:00:00,1
MR-00055,90,comp1,2015-04-05 06:00:00,2015-04-05 06:00:00,observed_replacement_demand,LOT-00002,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-05 06:00:00,1
MR-00056,90,comp4,2015-04-05 06:00:00,2015-04-05 06:00:00,observed_replacement_demand,LOT-00008,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-05 06:00:00,1
MR-00057,92,comp3,2015-04-05 06:00:00,2015-04-05 06:00:00,observed_replacement_demand,LOT-00006,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-05 06:00:00,1
MR-00058,95,comp4,2015-04-05 06:00:00,2015-04-05 06:00:00,observed_replacement_demand,LOT-00008,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-05 06:00:00,1
MR-00059,8,comp3,2015-04-06 06:00:00,2015-04-06 06:00:00,observed_replacement_demand,LOT-00006,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-06 06:00:00,1
MR-00060,26,comp1,2015-04-06 06:00:00,2015-04-06 06:00:00,observed_replacement_demand,LOT-00002,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-06 06:00:00,1
MR-00061,35,comp3,2015-04-06 06:00:00,2015-04-06 06:00:00,observed_replacement_demand,LOT-00006,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-06 06:00:00,1
MR-00062,42,comp2,2015-04-06 06:00:00,2015-04-06 06:00:00,observed_replacement_demand,LOT-00004,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-06 06:00:00,1
MR-00063,42,comp3,2015-04-06 06:00:00,2015-04-06 06:00:00,observed_replacement_demand,LOT-00006,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-06 06:00:00,1
MR-00064,43,comp1,2015-04-06 06:00:00,2015-04-06 06:00:00,observed_replacement_demand,LOT-00002,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-06 06:00:00,1
MR-00065,55,comp4,2015-04-06 06:00:00,2015-04-06 06:00:00,observed_replacement_demand,LOT-00008,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-06 06:00:00,1
MR-00066,78,comp2,2015-04-06 06:00:00,2015-04-06 06:00:00,observed_replacement_demand,LOT-00004,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-06 06:00:00,1
MR-00067,3,comp2,2015-04-07 06:00:00,2015-04-07 06:00:00,observed_replacement_demand,LOT-00004,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-07 06:00:00,1
MR-00068,6,comp1,2015-04-07 06:00:00,2015-04-07 06:00:00,observed_replacement_demand,LOT-00002,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-07 06:00:00,1
MR-00069,12,comp1,2015-04-07 06:00:00,2015-04-07 06:00:00,observed_replacement_demand,LOT-00002,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-07 06:00:00,1
MR-00070,12,comp2,2015-04-07 06:00:00,2015-04-07 06:00:00,observed_replacement_demand,LOT-00004,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-07 06:00:00,1
MR-00071,22,comp3,2015-04-07 06:00:00,2015-04-07 06:00:00,observed_replacement_demand,LOT-00006,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-07 06:00:00,1
MR-00072,31,comp3,2015-04-07 06:00:00,2015-04-07 06:00:00,observed_replacement_demand,LOT-00006,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-07 06:00:00,1
MR-00073,31,comp4,2015-04-07 06:00:00,2015-04-07 06:00:00,observed_replacement_demand,LOT-00008,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-07 06:00:00,1
MR-00074,36,comp1,2015-04-07 06:00:00,2015-04-07 06:00:00,observed_replacement_demand,LOT-00002,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-07 06:00:00,1
MR-00075,36,comp4,2015-04-07 06:00:00,2015-04-07 06:00:00,observed_replacement_demand,LOT-00008,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-07 06:00:00,1
MR-00076,45,comp3,2015-04-07 06:00:00,2015-04-07 06:00:00,observed_replacement_demand,LOT-00006,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-07 06:00:00,1
MR-00077,75,comp1,2015-04-07 06:00:00,2015-04-07 06:00:00,observed_replacement_demand,LOT-00002,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-07 06:00:00,1
MR-00078,75,comp3,2015-04-07 06:00:00,2015-04-07 06:00:00,observed_replacement_demand,LOT-00006,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-07 06:00:00,1
MR-00079,21,comp4,2015-04-08 06:00:00,2015-04-08 06:00:00,observed_replacement_demand,LOT-00008,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-08 06:00:00,1
MR-00080,46,comp4,2015-04-08 06:00:00,2015-04-08 06:00:00,observed_replacement_demand,LOT-00008,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-08 06:00:00,1
MR-00081,57,comp1,2015-04-08 06:00:00,2015-04-08 06:00:00,observed_replacement_demand,LOT-00012,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-08 06:00:00,1
MR-00082,57,comp4,2015-04-08 06:00:00,2015-04-08 06:00:00,observed_replacement_demand,LOT-00008,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-08 06:00:00,1
MR-00083,72,comp1,2015-04-08 06:00:00,2015-04-08 06:00:00,observed_replacement_demand,LOT-00012,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-08 06:00:00,1
MR-00084,86,comp4,2015-04-08 06:00:00,2015-04-08 06:00:00,observed_replacement_demand,LOT-00011,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-08 06:00:00,1
MR-00085,5,comp1,2015-04-09 06:00:00,2015-04-09 06:00:00,observed_replacement_demand,LOT-00012,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-09 06:00:00,1
MR-00086,7,comp2,2015-04-09 06:00:00,2015-04-09 06:00:00,observed_replacement_demand,LOT-00004,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-09 06:00:00,1
MR-00087,30,comp2,2015-04-09 06:00:00,2015-04-09 06:00:00,observed_replacement_demand,LOT-00004,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-09 06:00:00,1
MR-00088,30,comp3,2015-04-09 06:00:00,2015-04-09 06:00:00,observed_replacement_demand,LOT-00010,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-09 06:00:00,1
MR-00089,47,comp2,2015-04-09 06:00:00,2015-04-09 06:00:00,observed_replacement_demand,LOT-00004,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-09 06:00:00,1
MR-00090,97,comp2,2015-04-09 06:00:00,2015-04-09 06:00:00,observed_replacement_demand,LOT-00004,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-09 06:00:00,1
MR-00091,32,comp1,2015-04-10 06:00:00,2015-04-10 06:00:00,observed_replacement_demand,LOT-00012,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-10 06:00:00,1
MR-00092,32,comp4,2015-04-10 06:00:00,2015-04-10 06:00:00,observed_replacement_demand,LOT-00011,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-10 06:00:00,1
MR-00093,13,comp3,2015-04-11 06:00:00,2015-04-11 06:00:00,observed_replacement_demand,LOT-00010,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-11 06:00:00,1
MR-00094,13,comp4,2015-04-11 06:00:00,2015-04-11 06:00:00,observed_replacement_demand,LOT-00011,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-11 06:00:00,1
MR-00095,48,comp3,2015-04-11 06:00:00,2015-04-11 06:00:00,observed_replacement_demand,LOT-00010,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-11 06:00:00,1
MR-00096,77,comp1,2015-04-11 06:00:00,2015-04-11 06:00:00,observed_replacement_demand,LOT-00012,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-11 06:00:00,1
MR-00097,77,comp4,2015-04-11 06:00:00,2015-04-11 06:00:00,observed_replacement_demand,LOT-00011,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-11 06:00:00,1
MR-00098,87,comp1,2015-04-12 06:00:00,2015-04-12 06:00:00,observed_replacement_demand,LOT-00012,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-12 06:00:00,1
MR-00099,19,comp1,2015-04-13 06:00:00,2015-04-13 06:00:00,observed_replacement_demand,LOT-00012,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-13 06:00:00,1
MR-00100,19,comp4,2015-04-13 06:00:00,2015-04-13 06:00:00,observed_replacement_demand,LOT-00011,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-13 06:00:00,1
MR-00101,53,comp3,2015-04-13 06:00:00,2015-04-13 06:00:00,observed_replacement_demand,LOT-00010,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-13 06:00:00,1
MR-00102,53,comp4,2015-04-13 06:00:00,2015-04-13 06:00:00,observed_replacement_demand,LOT-00011,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-13 06:00:00,1
MR-00103,61,comp3,2015-04-13 06:00:00,2015-04-13 06:00:00,observed_replacement_demand,LOT-00010,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-13 06:00:00,1
MR-00104,62,comp1,2015-04-13 06:00:00,2015-04-13 06:00:00,observed_replacement_demand,LOT-00012,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-13 06:00:00,1
MR-00105,62,comp2,2015-04-13 06:00:00,2015-04-13 06:00:00,observed_replacement_demand,LOT-00009,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-13 06:00:00,1
MR-00106,63,comp1,2015-04-13 06:00:00,2015-04-13 06:00:00,observed_replacement_demand,LOT-00012,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-13 06:00:00,1
MR-00107,63,comp3,2015-04-13 06:00:00,2015-04-13 06:00:00,observed_replacement_demand,LOT-00010,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-13 06:00:00,1
MR-00108,70,comp2,2015-04-13 06:00:00,2015-04-13 06:00:00,observed_replacement_demand,LOT-00009,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-13 06:00:00,1
MR-00109,70,comp4,2015-04-13 06:00:00,2015-04-13 06:00:00,observed_replacement_demand,LOT-00011,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-13 06:00:00,1
MR-00110,80,comp1,2015-04-13 06:00:00,2015-04-13 06:00:00,observed_replacement_demand,LOT-00012,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-13 06:00:00,1
MR-00111,80,comp2,2015-04-13 06:00:00,2015-04-13 06:00:00,observed_replacement_demand,LOT-00009,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-13 06:00:00,1
MR-00112,82,comp2,2015-04-13 06:00:00,2015-04-13 06:00:00,observed_replacement_demand,LOT-00009,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-13 06:00:00,1
MR-00113,82,comp4,2015-04-13 06:00:00,2015-04-13 06:00:00,observed_replacement_demand,LOT-00011,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-13 06:00:00,1
MR-00114,100,comp1,2015-04-13 06:00:00,2015-04-13 06:00:00,observed_replacement_demand,LOT-00012,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-13 06:00:00,1
MR-00115,56,comp1,2015-04-14 06:00:00,2015-04-14 06:00:00,observed_replacement_demand,LOT-00012,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-14 06:00:00,1
MR-00116,56,comp4,2015-04-14 06:00:00,2015-04-14 06:00:00,observed_replacement_demand,LOT-00011,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-14 06:00:00,1
MR-00117,18,comp1,2015-04-15 06:00:00,2015-04-15 06:00:00,observed_replacement_demand,LOT-00012,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-15 06:00:00,1
MR-00118,18,comp3,2015-04-15 06:00:00,2015-04-15 06:00:00,observed_replacement_demand,LOT-00010,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-15 06:00:00,1
MR-00119,44,comp1,2015-04-15 06:00:00,2015-04-15 06:00:00,observed_replacement_demand,LOT-00013,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-15 06:00:00,1
MR-00120,49,comp1,2015-04-15 06:00:00,2015-04-15 06:00:00,observed_replacement_demand,LOT-00013,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-15 06:00:00,1
MR-00121,49,comp4,2015-04-15 06:00:00,2015-04-15 06:00:00,observed_replacement_demand,LOT-00011,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-15 06:00:00,1
MR-00122,54,comp3,2015-04-15 06:00:00,2015-04-15 06:00:00,observed_replacement_demand,LOT-00010,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-15 06:00:00,1
MR-00123,60,comp2,2015-04-15 06:00:00,2015-04-15 06:00:00,observed_replacement_demand,LOT-00009,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-15 06:00:00,1
MR-00124,60,comp3,2015-04-15 06:00:00,2015-04-15 06:00:00,observed_replacement_demand,LOT-00010,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-15 06:00:00,1
MR-00125,85,comp3,2015-04-15 06:00:00,2015-04-15 06:00:00,observed_replacement_demand,LOT-00010,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-15 06:00:00,1
MR-00126,98,comp3,2015-04-15 06:00:00,2015-04-15 06:00:00,observed_replacement_demand,LOT-00010,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-15 06:00:00,1
MR-00127,14,comp4,2015-04-16 06:00:00,2015-04-16 06:00:00,observed_replacement_demand,LOT-00011,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-16 06:00:00,1
MR-00128,17,comp4,2015-04-16 06:00:00,2015-04-16 06:00:00,observed_replacement_demand,LOT-00011,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-16 06:00:00,1
MR-00129,28,comp3,2015-04-16 06:00:00,2015-04-16 06:00:00,observed_replacement_demand,LOT-00010,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-16 06:00:00,1
MR-00130,33,comp3,2015-04-16 06:00:00,2015-04-17 06:00:00,observed_replacement_demand,LOT-00016,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-16 06:00:00,1
MR-00131,34,comp1,2015-04-16 06:00:00,2015-04-16 06:00:00,observed_replacement_demand,LOT-00013,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-16 06:00:00,1
MR-00132,39,comp2,2015-04-16 06:00:00,2015-04-16 06:00:00,observed_replacement_demand,LOT-00009,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-16 06:00:00,1
MR-00133,39,comp4,2015-04-16 06:00:00,2015-04-16 06:00:00,observed_replacement_demand,LOT-00011,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-16 06:00:00,1
MR-00134,51,comp2,2015-04-16 06:00:00,2015-04-16 06:00:00,observed_replacement_demand,LOT-00009,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-16 06:00:00,1
