model_version,component,horizon_days,split,metric,value,source
fp_v1,comp4,28,test,base_rate,0.1247,ml
fp_v1,comp4,28,test,rule_auc,0.752,ml
fp_v1,comp4,28,test,lift_top10,3.6817,ml
fp_v1,comp4,28,test,n_test,6600.0,ml
fp_v1,comp4,28,test,pos_test,823.0,ml
fp_v1,comp4,35,test,auc,0.8818,ml
fp_v1,comp4,35,test,pr_auc,0.4927,ml
fp_v1,comp4,35,test,base_rate,0.1532,ml
fp_v1,comp4,35,test,rule_auc,0.7321,ml
fp_v1,comp4,35,test,lift_top10,3.219,ml
fp_v1,comp4,35,test,n_test,5900.0,ml
fp_v1,comp4,35,test,pos_test,904.0,ml
fp_v1,comp4,42,test,auc,0.8687,ml
fp_v1,comp4,42,test,pr_auc,0.535,ml
fp_v1,comp4,42,test,base_rate,0.1804,ml
fp_v1,comp4,42,test,rule_auc,0.705,ml
fp_v1,comp4,42,test,lift_top10,3.6247,ml
fp_v1,comp4,42,test,n_test,5200.0,ml
fp_v1,comp4,42,test,pos_test,938.0,ml
